,Mean-x [pix],Mean-y [pix],SD-x [pix],SD-y [pix],r_hat
0,9.365,8.906,0.066,0.062,1.0
1,9.336,8.984,0.071,0.082,1.0
2,9.031,8.673,0.056,0.062,1.0
3,9.311,8.581,0.033,0.032,1.0
4,9.147,9.2,0.078,0.089,1.0
5,9.008,9.139,0.036,0.036,1.0
6,9.27,9.372,0.034,0.033,1.0
7,8.537,8.846,0.031,0.031,1.0
8,9.235,9.18,0.056,0.061,1.0
9,9.231,8.684,0.058,0.063,1.0
10,8.609,8.967,0.039,0.038,1.0
11,9.371,9.301,0.173,0.134,1.0
12,8.499,8.716,0.033,0.034,1.03
13,9.067,9.255,0.035,0.033,1.0
14,8.943,8.516,0.042,0.041,1.0
15,9.303,9.354,0.162,0.145,1.0
16,8.717,8.951,0.031,0.032,1.0
17,9.244,9.236,0.06,0.066,1.0
18,8.777,8.579,0.072,0.093,1.0
19,8.758,8.793,0.058,0.065,1.0
20,8.6,9.163,0.058,0.062,1.0
21,9.357,8.805,0.061,0.071,1.0
22,8.8,9.081,0.066,0.077,1.0
23,9.083,9.169,0.035,0.035,1.0
24,8.656,8.939,0.133,0.105,1.0
25,9.401,8.854,0.032,0.032,1.0
26,8.69,9.252,0.06,0.063,1.0
27,9.157,8.864,0.034,0.032,1.01
28,8.565,9.478,0.104,0.117,1.0
29,9.108,8.821,0.15,0.114,1.0
30,8.551,9.23,0.114,0.083,1.0
31,8.698,9.059,0.076,0.094,1.0
32,9.367,8.523,0.156,0.152,1.0
33,9.393,8.815,0.058,0.063,1.0
34,8.916,9.054,0.063,0.08,1.0
35,8.765,9.019,0.029,0.029,1.0
36,9.104,8.825,0.062,0.072,1.0
37,9.488,8.892,0.03,0.031,1.0
38,8.974,9.049,0.244,0.22,1.0
39,9.24,9.478,0.034,0.035,1.0
40,9.024,8.561,0.07,0.08,1.0
41,9.131,9.277,0.035,0.032,1.0
42,9.386,9.133,0.054,0.06,1.0
43,8.802,8.672,0.055,0.059,1.0
44,8.507,9.348,0.035,0.035,1.02
45,9.011,8.65,0.054,0.059,1.0
46,9.253,9.096,0.067,0.076,1.0
47,8.813,9.11,0.033,0.034,1.01
48,8.575,8.985,0.035,0.035,1.01
49,9.045,9.03,0.102,0.083,1.0
50,8.783,9.347,0.047,0.05,1.01
51,9.436,8.708,0.036,0.034,1.0
52,9.498,9.387,0.062,0.073,1.0
53,9.32,8.622,0.046,0.051,1.0
54,8.618,8.883,0.033,0.033,1.0
55,8.991,9.186,0.064,0.072,1.0
56,8.705,8.92,0.032,0.032,1.0
57,9.126,8.902,0.066,0.068,1.0
58,9.236,8.832,0.062,0.068,1.0
59,8.544,8.671,0.033,0.033,1.01
60,8.907,9.311,0.137,0.101,1.0
61,9.322,9.195,0.155,0.088,1.0
62,8.568,9.37,0.156,0.16,1.0
63,9.163,9.232,0.17,0.147,1.0
64,8.661,9.496,0.2,0.245,1.0
65,9.356,9.324,0.033,0.033,1.01
66,9.27,9.432,0.033,0.032,1.0
67,9.279,9.037,0.035,0.035,1.01
68,9.284,8.743,0.033,0.036,1.01
69,8.743,9.136,0.096,0.093,1.0
70,8.689,9.045,0.032,0.035,1.01
71,9.34,8.547,0.035,0.033,1.0
72,8.69,8.903,0.154,0.146,1.0
73,8.557,9.382,0.282,0.205,1.0
74,9.081,9.107,0.053,0.058,1.0
75,9.159,9.108,0.055,0.058,1.0
76,9.221,9.309,0.036,0.038,1.0
77,9.322,9.277,0.054,0.061,1.0
78,8.565,8.603,0.071,0.083,1.0
79,9.24,9.307,0.035,0.034,1.01
80,8.869,8.583,0.061,0.065,1.0
81,9.388,9.258,0.061,0.066,1.0
82,9.356,9.494,0.034,0.032,1.04
83,9.452,9.248,0.035,0.033,1.02
84,8.546,8.781,0.036,0.038,1.01
85,8.553,8.589,0.159,0.145,1.0
86,8.613,8.977,0.033,0.033,1.01
87,9.161,9.082,0.057,0.062,1.0
88,8.838,8.88,0.04,0.037,1.0
89,8.884,8.731,0.042,0.05,1.0
90,9.302,9.386,0.035,0.035,1.0
91,8.746,8.631,0.037,0.036,1.0
92,9.345,8.757,0.031,0.031,1.0
93,9.451,8.937,0.035,0.033,1.0
94,9.178,9.237,0.036,0.037,1.0
95,9.226,9.204,0.058,0.064,1.0
96,9.414,9.293,0.07,0.077,1.0
97,9.087,9.415,0.06,0.069,1.0
98,8.8,9.227,0.045,0.052,1.01
99,9.152,8.686,0.049,0.053,1.0
100,8.906,8.51,0.061,0.063,1.0
101,9.216,9.259,0.066,0.07,1.0
102,9.283,8.531,0.034,0.036,1.0
103,9.338,8.531,0.035,0.032,1.0
104,8.968,9.093,0.056,0.06,1.0
105,9.384,9.404,0.035,0.035,1.0
106,8.618,9.071,0.032,0.031,1.02
107,8.745,9.194,0.034,0.034,1.0
108,8.662,8.863,0.036,0.034,1.01
109,9.17,9.221,0.037,0.038,1.01
110,9.305,9.237,0.04,0.042,1.0
111,8.6,8.844,0.061,0.064,1.0
112,9.188,8.608,0.033,0.032,1.0
113,8.825,8.881,0.065,0.069,1.0
114,8.948,8.632,0.215,0.131,1.0
115,9.499,8.815,0.146,0.138,1.0
116,8.512,9.299,0.107,0.103,1.0
117,8.87,9.004,0.085,0.101,1.0
118,8.758,9.034,0.033,0.032,1.0
119,9.361,8.833,0.13,0.115,1.0
120,9.343,9.299,0.05,0.055,1.0
121,9.317,8.861,0.037,0.037,1.0
122,9.42,9.269,0.035,0.033,1.01
123,9.346,8.964,0.059,0.062,1.0
124,9.325,9.296,0.036,0.036,1.01
125,8.7,9.255,0.037,0.033,1.0
126,9.215,9.116,0.034,0.034,1.0
127,8.551,8.895,0.055,0.06,1.0
128,8.967,8.599,0.045,0.047,1.0
129,9.421,8.865,0.034,0.034,1.0
130,9.088,8.803,0.107,0.082,1.0
131,9.312,8.551,0.036,0.041,1.0
132,9.476,9.306,0.059,0.064,1.0
133,8.852,9.134,0.034,0.035,1.01
134,8.743,9.361,0.078,0.094,1.0
135,9.376,9.478,0.055,0.063,1.0
136,9.066,9.079,0.035,0.031,1.0
137,9.365,8.675,0.036,0.034,1.0
138,9.0,9.068,0.055,0.063,1.0
139,8.785,9.137,0.063,0.07,1.0
140,9.285,8.912,0.054,0.057,1.0
141,9.366,8.52,0.036,0.035,1.0
142,9.342,8.688,0.037,0.035,1.02
143,8.652,8.938,0.038,0.04,1.03
144,9.41,8.898,0.033,0.031,1.0
145,9.36,9.412,0.255,0.191,1.0
146,9.281,9.428,0.129,0.09,1.0
147,9.134,9.0,0.037,0.035,1.0
148,9.408,8.505,0.036,0.034,1.0
149,9.197,9.013,0.057,0.063,1.0
